,name,original_sentence,named_sentence,final_sentence
587,us,"I just spoke with ***, they're okay with moving forward to the next steps in the plan.","I just spoke with us, they're okay with moving forward to the next steps in the plan.","I just spoke with us, they're okay with moving forward to the next steps in the plan."
588,he,*** just published their second book.,he just published their second book.,he just published their second book.
589,she,*** just published their second book.,she just published their second book.,she just published their second book.
590,we,*** just published their second book.,we just published their second book.,we just published their second book.
591,you,*** just published their second book.,you just published their second book.,you just published their second book.
592,you all,*** just published their second book.,you all just published their second book.,you all just published their second book.
593,they,*** just published their second book.,they just published their second book.,they just published their second book.
594,I,*** just published their second book.,I just published their second book.,I just published their second book.
595,me,*** just published their second book.,me just published their second book.,me just published their second book.
596,him,*** just published their second book.,him just published their second book.,him just published their second book.
597,her,*** just published their second book.,her just published their second book.,her just published their second book.
598,them,*** just published their second book.,them just published their second book.,them just published their second book.
599,us,*** just published their second book.,us just published their second book.,us just published their second book.
600,he,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that he made the best apple pie.,Everyone voted and decided that he made the best apple pie.
601,she,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that she made the best apple pie.,Everyone voted and decided that she made the best apple pie.
602,we,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that we made the best apple pie.,Everyone voted and decided that we made the best apple pie.
603,you,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that you made the best apple pie.,Everyone voted and decided that you made the best apple pie.
604,you all,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that you all made the best apple pie.,Everyone voted and decided that you all made the best apple pie.
605,they,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that they made the best apple pie.,Everyone voted and decided that they made the best apple pie.
606,I,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that I made the best apple pie.,Everyone voted and decided that I made the best apple pie.
607,me,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that me made the best apple pie.,Everyone voted and decided that me made the best apple pie.
608,him,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that him made the best apple pie.,Everyone voted and decided that him made the best apple pie.
609,her,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that her made the best apple pie.,Everyone voted and decided that her made the best apple pie.
610,them,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that them made the best apple pie.,Everyone voted and decided that them made the best apple pie.
611,us,Everyone voted and decided that *** made the best apple pie.,Everyone voted and decided that us made the best apple pie.,Everyone voted and decided that us made the best apple pie.
612,he,*** lost their jacket at school last week.,he lost their jacket at school last week.,he lost their jacket at school last week.
613,she,*** lost their jacket at school last week.,she lost their jacket at school last week.,she lost their jacket at school last week.
614,we,*** lost their jacket at school last week.,we lost their jacket at school last week.,we lost their jacket at school last week.
615,you,*** lost their jacket at school last week.,you lost their jacket at school last week.,you lost their jacket at school last week.
616,you all,*** lost their jacket at school last week.,you all lost their jacket at school last week.,you all lost their jacket at school last week.
617,they,*** lost their jacket at school last week.,they lost their jacket at school last week.,they lost their jacket at school last week.
618,I,*** lost their jacket at school last week.,I lost their jacket at school last week.,I lost their jacket at school last week.
619,me,*** lost their jacket at school last week.,me lost their jacket at school last week.,me lost their jacket at school last week.
620,him,*** lost their jacket at school last week.,him lost their jacket at school last week.,him lost their jacket at school last week.
621,her,*** lost their jacket at school last week.,her lost their jacket at school last week.,her lost their jacket at school last week.
622,them,*** lost their jacket at school last week.,them lost their jacket at school last week.,them lost their jacket at school last week.
623,us,*** lost their jacket at school last week.,us lost their jacket at school last week.,us lost their jacket at school last week.
624,he,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with he about what happened last week.,I have a meeting tomorrow with he about what happened last week.
625,she,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with she about what happened last week.,I have a meeting tomorrow with she about what happened last week.
626,we,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with we about what happened last week.,I have a meeting tomorrow with we about what happened last week.
627,you,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with you about what happened last week.,I have a meeting tomorrow with you about what happened last week.
628,you all,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with you all about what happened last week.,I have a meeting tomorrow with you all about what happened last week.
629,they,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with they about what happened last week.,I have a meeting tomorrow with they about what happened last week.
630,I,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with I about what happened last week.,I have a meeting tomorrow with I about what happened last week.
631,me,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with me about what happened last week.,I have a meeting tomorrow with me about what happened last week.
632,him,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with him about what happened last week.,I have a meeting tomorrow with him about what happened last week.
633,her,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with her about what happened last week.,I have a meeting tomorrow with her about what happened last week.
634,them,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with them about what happened last week.,I have a meeting tomorrow with them about what happened last week.
635,us,I have a meeting tomorrow with *** about what happened last week.,I have a meeting tomorrow with us about what happened last week.,I have a meeting tomorrow with us about what happened last week.
636,he,My cat *** passed away yesterday.,My cat he passed away yesterday.,My cat he passed away yesterday.
637,she,My cat *** passed away yesterday.,My cat she passed away yesterday.,My cat she passed away yesterday.
638,we,My cat *** passed away yesterday.,My cat we passed away yesterday.,My cat we passed away yesterday.
639,you,My cat *** passed away yesterday.,My cat you passed away yesterday.,My cat you passed away yesterday.
640,you all,My cat *** passed away yesterday.,My cat you all passed away yesterday.,My cat you all passed away yesterday.
641,they,My cat *** passed away yesterday.,My cat they passed away yesterday.,My cat they passed away yesterday.
642,I,My cat *** passed away yesterday.,My cat I passed away yesterday.,My cat I passed away yesterday.
643,me,My cat *** passed away yesterday.,My cat me passed away yesterday.,My cat me passed away yesterday.
644,him,My cat *** passed away yesterday.,My cat him passed away yesterday.,My cat him passed away yesterday.
645,her,My cat *** passed away yesterday.,My cat her passed away yesterday.,My cat her passed away yesterday.
646,them,My cat *** passed away yesterday.,My cat them passed away yesterday.,My cat them passed away yesterday.
647,us,My cat *** passed away yesterday.,My cat us passed away yesterday.,My cat us passed away yesterday.
648,he,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for he to win the competition.","Don't tell anyone, but I'm secretly rooting for he to win the competition."
649,she,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for she to win the competition.","Don't tell anyone, but I'm secretly rooting for she to win the competition."
650,we,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for we to win the competition.","Don't tell anyone, but I'm secretly rooting for we to win the competition."
651,you,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for you to win the competition.","Don't tell anyone, but I'm secretly rooting for you to win the competition."
652,you all,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for you all to win the competition.","Don't tell anyone, but I'm secretly rooting for you all to win the competition."
653,they,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for they to win the competition.","Don't tell anyone, but I'm secretly rooting for they to win the competition."
654,I,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for I to win the competition.","Don't tell anyone, but I'm secretly rooting for I to win the competition."
655,me,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for me to win the competition.","Don't tell anyone, but I'm secretly rooting for me to win the competition."
656,him,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for him to win the competition.","Don't tell anyone, but I'm secretly rooting for him to win the competition."
657,her,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for her to win the competition.","Don't tell anyone, but I'm secretly rooting for her to win the competition."
658,them,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for them to win the competition.","Don't tell anyone, but I'm secretly rooting for them to win the competition."
659,us,"Don't tell anyone, but I'm secretly rooting for *** to win the competition.","Don't tell anyone, but I'm secretly rooting for us to win the competition.","Don't tell anyone, but I'm secretly rooting for us to win the competition."
660,he,"*** worked really hard on our project, I couldn't ask for a better teammate. ","he worked really hard on our project, I couldn't ask for a better teammate. ","he worked really hard on our project, I couldn't ask for a better teammate. "
661,she,"*** worked really hard on our project, I couldn't ask for a better teammate. ","she worked really hard on our project, I couldn't ask for a better teammate. ","she worked really hard on our project, I couldn't ask for a better teammate. "
662,we,"*** worked really hard on our project, I couldn't ask for a better teammate. ","we worked really hard on our project, I couldn't ask for a better teammate. ","we worked really hard on our project, I couldn't ask for a better teammate. "
663,you,"*** worked really hard on our project, I couldn't ask for a better teammate. ","you worked really hard on our project, I couldn't ask for a better teammate. ","you worked really hard on our project, I couldn't ask for a better teammate. "
664,you all,"*** worked really hard on our project, I couldn't ask for a better teammate. ","you all worked really hard on our project, I couldn't ask for a better teammate. ","you all worked really hard on our project, I couldn't ask for a better teammate. "
665,they,"*** worked really hard on our project, I couldn't ask for a better teammate. ","they worked really hard on our project, I couldn't ask for a better teammate. ","they worked really hard on our project, I couldn't ask for a better teammate. "
666,I,"*** worked really hard on our project, I couldn't ask for a better teammate. ","I worked really hard on our project, I couldn't ask for a better teammate. ","I worked really hard on our project, I couldn't ask for a better teammate. "
667,me,"*** worked really hard on our project, I couldn't ask for a better teammate. ","me worked really hard on our project, I couldn't ask for a better teammate. ","me worked really hard on our project, I couldn't ask for a better teammate. "
668,him,"*** worked really hard on our project, I couldn't ask for a better teammate. ","him worked really hard on our project, I couldn't ask for a better teammate. ","him worked really hard on our project, I couldn't ask for a better teammate. "
669,her,"*** worked really hard on our project, I couldn't ask for a better teammate. ","her worked really hard on our project, I couldn't ask for a better teammate. ","her worked really hard on our project, I couldn't ask for a better teammate. "
670,them,"*** worked really hard on our project, I couldn't ask for a better teammate. ","them worked really hard on our project, I couldn't ask for a better teammate. ","them worked really hard on our project, I couldn't ask for a better teammate. "
671,us,"*** worked really hard on our project, I couldn't ask for a better teammate. ","us worked really hard on our project, I couldn't ask for a better teammate. ","us worked really hard on our project, I couldn't ask for a better teammate. "
672,he,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how he behaved in class yesterday.,There's no excuse for how he behaved in class yesterday.
673,she,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how she behaved in class yesterday.,There's no excuse for how she behaved in class yesterday.
674,we,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how we behaved in class yesterday.,There's no excuse for how we behaved in class yesterday.
675,you,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how you behaved in class yesterday.,There's no excuse for how you behaved in class yesterday.
676,you all,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how you all behaved in class yesterday.,There's no excuse for how you all behaved in class yesterday.
677,they,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how they behaved in class yesterday.,There's no excuse for how they behaved in class yesterday.
678,I,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how I behaved in class yesterday.,There's no excuse for how I behaved in class yesterday.
679,me,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how me behaved in class yesterday.,There's no excuse for how me behaved in class yesterday.
680,him,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how him behaved in class yesterday.,There's no excuse for how him behaved in class yesterday.
681,her,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how her behaved in class yesterday.,There's no excuse for how her behaved in class yesterday.
682,them,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how them behaved in class yesterday.,There's no excuse for how them behaved in class yesterday.
683,us,There's no excuse for how *** behaved in class yesterday.,There's no excuse for how us behaved in class yesterday.,There's no excuse for how us behaved in class yesterday.
684,he,Whatever *** was doing did not pay any particular dividends.,Whatever he was doing did not pay any particular dividends.,Whatever he was doing did not pay any particular dividends.
685,she,Whatever *** was doing did not pay any particular dividends.,Whatever she was doing did not pay any particular dividends.,Whatever she was doing did not pay any particular dividends.
686,we,Whatever *** was doing did not pay any particular dividends.,Whatever we was doing did not pay any particular dividends.,Whatever we was doing did not pay any particular dividends.
687,you,Whatever *** was doing did not pay any particular dividends.,Whatever you was doing did not pay any particular dividends.,Whatever you was doing did not pay any particular dividends.
688,you all,Whatever *** was doing did not pay any particular dividends.,Whatever you all was doing did not pay any particular dividends.,Whatever you all was doing did not pay any particular dividends.
689,they,Whatever *** was doing did not pay any particular dividends.,Whatever they was doing did not pay any particular dividends.,Whatever they was doing did not pay any particular dividends.
690,I,Whatever *** was doing did not pay any particular dividends.,Whatever I was doing did not pay any particular dividends.,Whatever I was doing did not pay any particular dividends.
691,me,Whatever *** was doing did not pay any particular dividends.,Whatever me was doing did not pay any particular dividends.,Whatever me was doing did not pay any particular dividends.
692,him,Whatever *** was doing did not pay any particular dividends.,Whatever him was doing did not pay any particular dividends.,Whatever him was doing did not pay any particular dividends.
693,her,Whatever *** was doing did not pay any particular dividends.,Whatever her was doing did not pay any particular dividends.,Whatever her was doing did not pay any particular dividends.
694,them,Whatever *** was doing did not pay any particular dividends.,Whatever them was doing did not pay any particular dividends.,Whatever them was doing did not pay any particular dividends.
695,us,Whatever *** was doing did not pay any particular dividends.,Whatever us was doing did not pay any particular dividends.,Whatever us was doing did not pay any particular dividends.
696,he,*** waggled their fingers of the char and it began to creep forward slowly.,he waggled their fingers of the char and it began to creep forward slowly.,he waggled their fingers of the char and it began to creep forward slowly.
697,she,*** waggled their fingers of the char and it began to creep forward slowly.,she waggled their fingers of the char and it began to creep forward slowly.,she waggled their fingers of the char and it began to creep forward slowly.
698,we,*** waggled their fingers of the char and it began to creep forward slowly.,we waggled their fingers of the char and it began to creep forward slowly.,we waggled their fingers of the char and it began to creep forward slowly.
699,you,*** waggled their fingers of the char and it began to creep forward slowly.,you waggled their fingers of the char and it began to creep forward slowly.,you waggled their fingers of the char and it began to creep forward slowly.
700,you all,*** waggled their fingers of the char and it began to creep forward slowly.,you all waggled their fingers of the char and it began to creep forward slowly.,you all waggled their fingers of the char and it began to creep forward slowly.
701,they,*** waggled their fingers of the char and it began to creep forward slowly.,they waggled their fingers of the char and it began to creep forward slowly.,they waggled their fingers of the char and it began to creep forward slowly.
702,I,*** waggled their fingers of the char and it began to creep forward slowly.,I waggled their fingers of the char and it began to creep forward slowly.,I waggled their fingers of the char and it began to creep forward slowly.
703,me,*** waggled their fingers of the char and it began to creep forward slowly.,me waggled their fingers of the char and it began to creep forward slowly.,me waggled their fingers of the char and it began to creep forward slowly.
704,him,*** waggled their fingers of the char and it began to creep forward slowly.,him waggled their fingers of the char and it began to creep forward slowly.,him waggled their fingers of the char and it began to creep forward slowly.
705,her,*** waggled their fingers of the char and it began to creep forward slowly.,her waggled their fingers of the char and it began to creep forward slowly.,her waggled their fingers of the char and it began to creep forward slowly.
706,them,*** waggled their fingers of the char and it began to creep forward slowly.,them waggled their fingers of the char and it began to creep forward slowly.,them waggled their fingers of the char and it began to creep forward slowly.
707,us,*** waggled their fingers of the char and it began to creep forward slowly.,us waggled their fingers of the char and it began to creep forward slowly.,us waggled their fingers of the char and it began to creep forward slowly.
708,he,Had *** lied about where they were last week?,Had he lied about where they were last week?,Had he lied about where they were last week?
709,she,Had *** lied about where they were last week?,Had she lied about where they were last week?,Had she lied about where they were last week?
710,we,Had *** lied about where they were last week?,Had we lied about where they were last week?,Had we lied about where they were last week?
711,you,Had *** lied about where they were last week?,Had you lied about where they were last week?,Had you lied about where they were last week?
712,you all,Had *** lied about where they were last week?,Had you all lied about where they were last week?,Had you all lied about where they were last week?
713,they,Had *** lied about where they were last week?,Had they lied about where they were last week?,Had they lied about where they were last week?
714,I,Had *** lied about where they were last week?,Had I lied about where they were last week?,Had I lied about where they were last week?
715,me,Had *** lied about where they were last week?,Had me lied about where they were last week?,Had me lied about where they were last week?
716,him,Had *** lied about where they were last week?,Had him lied about where they were last week?,Had him lied about where they were last week?
717,her,Had *** lied about where they were last week?,Had her lied about where they were last week?,Had her lied about where they were last week?
718,them,Had *** lied about where they were last week?,Had them lied about where they were last week?,Had them lied about where they were last week?
719,us,Had *** lied about where they were last week?,Had us lied about where they were last week?,Had us lied about where they were last week?
720,he,I really dislike way ***'s mask sits on his face,I really dislike way he's mask sits on his face,I really dislike way he's mask sits on his face
721,she,I really dislike way ***'s mask sits on his face,I really dislike way she's mask sits on his face,I really dislike way she's mask sits on his face
722,we,I really dislike way ***'s mask sits on his face,I really dislike way we's mask sits on his face,I really dislike way we's mask sits on his face
723,you,I really dislike way ***'s mask sits on his face,I really dislike way you's mask sits on his face,I really dislike way you's mask sits on his face
724,you all,I really dislike way ***'s mask sits on his face,I really dislike way you all's mask sits on his face,I really dislike way you all's mask sits on his face
725,they,I really dislike way ***'s mask sits on his face,I really dislike way they's mask sits on his face,I really dislike way they's mask sits on his face
726,I,I really dislike way ***'s mask sits on his face,I really dislike way I's mask sits on his face,I really dislike way I's mask sits on his face
727,me,I really dislike way ***'s mask sits on his face,I really dislike way me's mask sits on his face,I really dislike way me's mask sits on his face
728,him,I really dislike way ***'s mask sits on his face,I really dislike way him's mask sits on his face,I really dislike way him's mask sits on his face
729,her,I really dislike way ***'s mask sits on his face,I really dislike way her's mask sits on his face,I really dislike way her's mask sits on his face
730,them,I really dislike way ***'s mask sits on his face,I really dislike way them's mask sits on his face,I really dislike way them's mask sits on his face
731,us,I really dislike way ***'s mask sits on his face,I really dislike way us's mask sits on his face,I really dislike way us's mask sits on his face
732,he,Dr. *** is a great lecturer and scholar,Dr. he is a great lecturer and scholar,Dr. he is a great lecturer and scholar
733,she,Dr. *** is a great lecturer and scholar,Dr. she is a great lecturer and scholar,Dr. she is a great lecturer and scholar
734,we,Dr. *** is a great lecturer and scholar,Dr. we is a great lecturer and scholar,Dr. we is a great lecturer and scholar
735,you,Dr. *** is a great lecturer and scholar,Dr. you is a great lecturer and scholar,Dr. you is a great lecturer and scholar
736,you all,Dr. *** is a great lecturer and scholar,Dr. you all is a great lecturer and scholar,Dr. you all is a great lecturer and scholar
737,they,Dr. *** is a great lecturer and scholar,Dr. they is a great lecturer and scholar,Dr. they is a great lecturer and scholar
738,I,Dr. *** is a great lecturer and scholar,Dr. I is a great lecturer and scholar,Dr. I is a great lecturer and scholar
739,me,Dr. *** is a great lecturer and scholar,Dr. me is a great lecturer and scholar,Dr. me is a great lecturer and scholar
740,him,Dr. *** is a great lecturer and scholar,Dr. him is a great lecturer and scholar,Dr. him is a great lecturer and scholar
741,her,Dr. *** is a great lecturer and scholar,Dr. her is a great lecturer and scholar,Dr. her is a great lecturer and scholar
742,them,Dr. *** is a great lecturer and scholar,Dr. them is a great lecturer and scholar,Dr. them is a great lecturer and scholar
743,us,Dr. *** is a great lecturer and scholar,Dr. us is a great lecturer and scholar,Dr. us is a great lecturer and scholar
744,he,*** is gentlemen who is well read,he is gentlemen who is well read,he is gentlemen who is well read
745,she,*** is gentlemen who is well read,she is gentlemen who is well read,she is gentlemen who is well read
746,we,*** is gentlemen who is well read,we is gentlemen who is well read,we is gentlemen who is well read
747,you,*** is gentlemen who is well read,you is gentlemen who is well read,you is gentlemen who is well read
748,you all,*** is gentlemen who is well read,you all is gentlemen who is well read,you all is gentlemen who is well read
749,they,*** is gentlemen who is well read,they is gentlemen who is well read,they is gentlemen who is well read
750,I,*** is gentlemen who is well read,I is gentlemen who is well read,I is gentlemen who is well read
751,me,*** is gentlemen who is well read,me is gentlemen who is well read,me is gentlemen who is well read
752,him,*** is gentlemen who is well read,him is gentlemen who is well read,him is gentlemen who is well read
753,her,*** is gentlemen who is well read,her is gentlemen who is well read,her is gentlemen who is well read
754,them,*** is gentlemen who is well read,them is gentlemen who is well read,them is gentlemen who is well read
755,us,*** is gentlemen who is well read,us is gentlemen who is well read,us is gentlemen who is well read
756,he,*** has a pet dragon that he keeps in his closet,he has a pet dragon that he keeps in his closet,he has a pet dragon that he keeps in his closet
757,she,*** has a pet dragon that he keeps in his closet,she has a pet dragon that he keeps in his closet,she has a pet dragon that he keeps in his closet
758,we,*** has a pet dragon that he keeps in his closet,we has a pet dragon that he keeps in his closet,we has a pet dragon that he keeps in his closet
759,you,*** has a pet dragon that he keeps in his closet,you has a pet dragon that he keeps in his closet,you has a pet dragon that he keeps in his closet
760,you all,*** has a pet dragon that he keeps in his closet,you all has a pet dragon that he keeps in his closet,you all has a pet dragon that he keeps in his closet
761,they,*** has a pet dragon that he keeps in his closet,they has a pet dragon that he keeps in his closet,they has a pet dragon that he keeps in his closet
762,I,*** has a pet dragon that he keeps in his closet,I has a pet dragon that he keeps in his closet,I has a pet dragon that he keeps in his closet
763,me,*** has a pet dragon that he keeps in his closet,me has a pet dragon that he keeps in his closet,me has a pet dragon that he keeps in his closet
764,him,*** has a pet dragon that he keeps in his closet,him has a pet dragon that he keeps in his closet,him has a pet dragon that he keeps in his closet
765,her,*** has a pet dragon that he keeps in his closet,her has a pet dragon that he keeps in his closet,her has a pet dragon that he keeps in his closet
766,them,*** has a pet dragon that he keeps in his closet,them has a pet dragon that he keeps in his closet,them has a pet dragon that he keeps in his closet
767,us,*** has a pet dragon that he keeps in his closet,us has a pet dragon that he keeps in his closet,us has a pet dragon that he keeps in his closet
768,he,*** is an avid hiker who sleeps on his side,he is an avid hiker who sleeps on his side,he is an avid hiker who sleeps on his side
769,she,*** is an avid hiker who sleeps on his side,she is an avid hiker who sleeps on his side,she is an avid hiker who sleeps on his side
770,we,*** is an avid hiker who sleeps on his side,we is an avid hiker who sleeps on his side,we is an avid hiker who sleeps on his side
771,you,*** is an avid hiker who sleeps on his side,you is an avid hiker who sleeps on his side,you is an avid hiker who sleeps on his side
772,you all,*** is an avid hiker who sleeps on his side,you all is an avid hiker who sleeps on his side,you all is an avid hiker who sleeps on his side
773,they,*** is an avid hiker who sleeps on his side,they is an avid hiker who sleeps on his side,they is an avid hiker who sleeps on his side
774,I,*** is an avid hiker who sleeps on his side,I is an avid hiker who sleeps on his side,I is an avid hiker who sleeps on his side
775,me,*** is an avid hiker who sleeps on his side,me is an avid hiker who sleeps on his side,me is an avid hiker who sleeps on his side
776,him,*** is an avid hiker who sleeps on his side,him is an avid hiker who sleeps on his side,him is an avid hiker who sleeps on his side
777,her,*** is an avid hiker who sleeps on his side,her is an avid hiker who sleeps on his side,her is an avid hiker who sleeps on his side
778,them,*** is an avid hiker who sleeps on his side,them is an avid hiker who sleeps on his side,them is an avid hiker who sleeps on his side
779,us,*** is an avid hiker who sleeps on his side,us is an avid hiker who sleeps on his side,us is an avid hiker who sleeps on his side
780,he,I have ***s pen but I am not going to return it,I have hes pen but I am not going to return it,I have hes pen but I am not going to return it
781,she,I have ***s pen but I am not going to return it,I have shes pen but I am not going to return it,I have shes pen but I am not going to return it
782,we,I have ***s pen but I am not going to return it,I have wes pen but I am not going to return it,I have wes pen but I am not going to return it
783,you,I have ***s pen but I am not going to return it,I have yous pen but I am not going to return it,I have yous pen but I am not going to return it
784,you all,I have ***s pen but I am not going to return it,I have you alls pen but I am not going to return it,I have you alls pen but I am not going to return it
785,they,I have ***s pen but I am not going to return it,I have theys pen but I am not going to return it,I have theys pen but I am not going to return it
786,I,I have ***s pen but I am not going to return it,I have Is pen but I am not going to return it,I have Is pen but I am not going to return it
787,me,I have ***s pen but I am not going to return it,I have mes pen but I am not going to return it,I have mes pen but I am not going to return it
788,him,I have ***s pen but I am not going to return it,I have hims pen but I am not going to return it,I have hims pen but I am not going to return it
789,her,I have ***s pen but I am not going to return it,I have hers pen but I am not going to return it,I have hers pen but I am not going to return it
790,them,I have ***s pen but I am not going to return it,I have thems pen but I am not going to return it,I have thems pen but I am not going to return it
791,us,I have ***s pen but I am not going to return it,I have uss pen but I am not going to return it,I have uss pen but I am not going to return it
792,he,*** looks uncomfortably young for his age,he looks uncomfortably young for his age,he looks uncomfortably young for his age
793,she,*** looks uncomfortably young for his age,she looks uncomfortably young for his age,she looks uncomfortably young for his age
794,we,*** looks uncomfortably young for his age,we looks uncomfortably young for his age,we looks uncomfortably young for his age
795,you,*** looks uncomfortably young for his age,you looks uncomfortably young for his age,you looks uncomfortably young for his age
796,you all,*** looks uncomfortably young for his age,you all looks uncomfortably young for his age,you all looks uncomfortably young for his age
797,they,*** looks uncomfortably young for his age,they looks uncomfortably young for his age,they looks uncomfortably young for his age
798,I,*** looks uncomfortably young for his age,I looks uncomfortably young for his age,I looks uncomfortably young for his age
799,me,*** looks uncomfortably young for his age,me looks uncomfortably young for his age,me looks uncomfortably young for his age
800,him,*** looks uncomfortably young for his age,him looks uncomfortably young for his age,him looks uncomfortably young for his age
801,her,*** looks uncomfortably young for his age,her looks uncomfortably young for his age,her looks uncomfortably young for his age
802,them,*** looks uncomfortably young for his age,them looks uncomfortably young for his age,them looks uncomfortably young for his age
803,us,*** looks uncomfortably young for his age,us looks uncomfortably young for his age,us looks uncomfortably young for his age
804,he,*** is a generous human with a big heart,he is a generous human with a big heart,he is a generous human with a big heart
805,she,*** is a generous human with a big heart,she is a generous human with a big heart,she is a generous human with a big heart
806,we,*** is a generous human with a big heart,we is a generous human with a big heart,we is a generous human with a big heart
807,you,*** is a generous human with a big heart,you is a generous human with a big heart,you is a generous human with a big heart
808,you all,*** is a generous human with a big heart,you all is a generous human with a big heart,you all is a generous human with a big heart
809,they,*** is a generous human with a big heart,they is a generous human with a big heart,they is a generous human with a big heart
810,I,*** is a generous human with a big heart,I is a generous human with a big heart,I is a generous human with a big heart
811,me,*** is a generous human with a big heart,me is a generous human with a big heart,me is a generous human with a big heart
812,him,*** is a generous human with a big heart,him is a generous human with a big heart,him is a generous human with a big heart
813,her,*** is a generous human with a big heart,her is a generous human with a big heart,her is a generous human with a big heart
814,them,*** is a generous human with a big heart,them is a generous human with a big heart,them is a generous human with a big heart
815,us,*** is a generous human with a big heart,us is a generous human with a big heart,us is a generous human with a big heart
816,he,*** is a great public speaker who motivates whoever they speak to ,he is a great public speaker who motivates whoever they speak to ,he is a great public speaker who motivates whoever they speak to 
817,she,*** is a great public speaker who motivates whoever they speak to ,she is a great public speaker who motivates whoever they speak to ,she is a great public speaker who motivates whoever they speak to 
818,we,*** is a great public speaker who motivates whoever they speak to ,we is a great public speaker who motivates whoever they speak to ,we is a great public speaker who motivates whoever they speak to 
819,you,*** is a great public speaker who motivates whoever they speak to ,you is a great public speaker who motivates whoever they speak to ,you is a great public speaker who motivates whoever they speak to 
820,you all,*** is a great public speaker who motivates whoever they speak to ,you all is a great public speaker who motivates whoever they speak to ,you all is a great public speaker who motivates whoever they speak to 
821,they,*** is a great public speaker who motivates whoever they speak to ,they is a great public speaker who motivates whoever they speak to ,they is a great public speaker who motivates whoever they speak to 
822,I,*** is a great public speaker who motivates whoever they speak to ,I is a great public speaker who motivates whoever they speak to ,I is a great public speaker who motivates whoever they speak to 
823,me,*** is a great public speaker who motivates whoever they speak to ,me is a great public speaker who motivates whoever they speak to ,me is a great public speaker who motivates whoever they speak to 
824,him,*** is a great public speaker who motivates whoever they speak to ,him is a great public speaker who motivates whoever they speak to ,him is a great public speaker who motivates whoever they speak to 
825,her,*** is a great public speaker who motivates whoever they speak to ,her is a great public speaker who motivates whoever they speak to ,her is a great public speaker who motivates whoever they speak to 
826,them,*** is a great public speaker who motivates whoever they speak to ,them is a great public speaker who motivates whoever they speak to ,them is a great public speaker who motivates whoever they speak to 
827,us,*** is a great public speaker who motivates whoever they speak to ,us is a great public speaker who motivates whoever they speak to ,us is a great public speaker who motivates whoever they speak to 
828,he,I really enjoyed quantitative research methods with *** ,I really enjoyed quantitative research methods with he ,I really enjoyed quantitative research methods with he 
